shidu,wendu,shineiwendu,ziwaixian,fushe,fengsu,fengxiang
46.75,16.107,18.9,-55.257,17.988,0.202,273.696
51.212,15.332,18.2,-55.494,5.997,0.404,337.696
50.962,15.169,17.5,-55.389,5.997,0.101,335.696
49.5,15.042,17,-55.27,0,0,78.5
51.25,14.599,16.6,-55.332,0,0,350
57.25,13.941,16.3,-55.354,0,0,350
55.75,14.103,16.1,-55.474,0,0,350
60.75,13.392,15.9,-55.297,0,0,350
61.5,13.313,15.6,-55.376,0,0,350
62.5,13.317,15.4,-55.376,0,0,350
66,12.854,15.4,-55.347,0,0,350
68,12.479,15.1,-55.383,0,0,350
69.5,11.963,14.8,-55.407,0,0,350
66.5,11.712,14.7,-55.286,0,0,350
70,11.771,15.3,-55.484,0,0,350
69,12.387,15.7,-55.356,0,0,42
67,12.514,16,-55.358,0,0.101,42.212
66,12.54,16.3,-55.475,0,0,42
68,11.211,16.5,-55.481,0,0.101,42.212
69,11.269,16.6,-55.401,0,0,19.625
69.5,11.549,16.8,-55.48,0,0,19.625
69.5,11.337,16.9,-55.322,0,0,19.625
70,11.541,16.9,-55.363,0,0,19.625
69.5,11.35,16.9,-55.322,0,0,19.625
70.5,10.75,16.5,-55.408,0,0,19.625
70,10.425,16.3,-55.409,0,0,19.625
73,10.347,16.3,-55.434,0,0,19.625
74,9.99,16.2,-55.311,0,0,19.625
78,9.375,15.8,-55.493,0,0.101,5.62
81,9.072,15.4,-55.371,0,0,67
80,9.367,15.6,-55.269,23.988,0,67
81,9.263,16.4,-55.358,59.975,0,67
76,11.782,17.1,-55.26,125.95,0,67
71,13.073,18.6,-55.479,185.9,0,67
66.5,15.142,21.4,-55.325,257.8,0,67
59.5,16.243,24.2,-55.29,305.8,0.404,36.712
54.284,17.083,25.7,-55.313,347.8,0.706,140.992
47.034,18.01,27.5,-55.343,413.8,1.919,126.316
39.462,18.852,26.8,-55.418,467.8,0.403,84.424
39.75,18.153,27.8,-55.403,455.8,0.506,8.393
38.25,18.379,28.3,-55.298,215.9,0.101,106.924
36,18.982,29.2,-55.478,197.9,0,272
36.75,18.95,30,-55.366,185.9,1.411,112.496
36.5,19.607,28.7,-55.355,173.9,0,106.5
36.75,19.357,29.2,-55.46,155.9,1.216,143.136
37.534,18.904,27,-55.281,131.9,0.404,61.962
36.962,19.111,25.8,-55.255,107.95,0.608,103.568
36.784,18.925,24.4,-55.446,83.95,1.013,118.14
38.07,18.597,22.5,-55.331,53.975,1.012,129.28
